fromaccount,toaccount,syscode,timestamp,amount
A50980,1000213,38,2014-09-01 10:24:37,800
A24556,1000213,38,2014-09-01 10:25:43,930
C44679,1000213,38,2014-09-01 10:26:40,700
C73070,1000213,38,2014-09-01 10:28:38,800
A45867,1000213,38,2014-09-01 10:35:55,800
A23455,1000213,38,2014-09-01 10:36:05,800
B63961,1000213,38,2014-09-01 10:39:41,800
E46320,1000213,38,2014-09-01 10:44:21,930
A62688,1000213,38,2014-09-01 10:48:40,700
C65965,1000213,38,2014-09-01 10:48:45,800
A28745,1000213,38,2014-09-01 10:48:49,800
D63989,1000213,38,2014-09-01 10:48:52,700
C40786,1000213,38,2014-09-01 10:51:28,930
E19754,1000213,38,2014-09-01 10:52:37,1100
C34423,1000213,38,2014-09-01 10:52:45,1430
C32999,1000213,38,2014-09-01 10:54:53,800
C64000,1000213,38,2014-09-01 10:55:30,800
C54360,1000213,38,2014-09-01 10:58:10,730
C44115,1000213,38,2014-09-01 10:58:10,800
B71305,1000213,38,2014-09-01 11:02:30,930
B33952,1000213,38,2014-09-01 11:02:42,800
D58187,1000213,38,2014-09-01 11:04:55,600
B74539,1000213,38,2014-09-01 11:06:02,1100
C51986,1000213,38,2014-09-01 11:06:06,600
A51331,1000213,38,2014-09-01 11:08:48,900
A59386,1000213,38,2014-09-01 11:08:52,1000
B68107,1000213,38,2014-09-01 11:10:05,900
C66736,1000213,38,2014-09-01 11:10:12,1000
B51016,1000213,38,2014-09-01 11:11:21,1200
C51093,1000213,38,2014-09-01 11:11:37,1100
A23219,1000213,38,2014-09-01 11:12:33,1000
D78281,1000213,38,2014-09-01 11:12:46,930
B75244,1000213,38,2014-09-01 11:13:52,830
E26739,1000213,38,2014-09-01 11:13:55,800
B75244,1000213,38,2014-09-01 11:14:01,100
E57601,1000213,38,2014-09-01 11:14:07,700
B78141,1000213,38,2014-09-01 11:14:08,1100
A73063,1000213,38,2014-09-01 11:15:12,900
C58528,1000213,38,2014-09-01 11:15:13,800
D23141,1000213,38,2014-09-01 11:15:33,600
B46155,1000213,38,2014-09-01 11:16:33,930
C26875,1000213,38,2014-09-01 11:16:34,700
A58799,1000213,38,2014-09-01 11:16:47,1330
E27847,1000213,38,2014-09-01 11:17:44,600
B41934,1000213,38,2014-09-01 11:17:55,800
B77987,1000213,38,2014-09-01 11:18:50,600
C55733,1000213,38,2014-09-01 11:19:01,800
B77987,1000213,38,2014-09-01 11:19:09,1500
A78537,1000213,38,2014-09-01 11:19:17,800
B51731,1000213,38,2014-09-01 11:19:18,1100
C75961,1000213,38,2014-09-01 11:20:21,900
C22244,1000213,38,2014-09-01 11:21:36,800
E53771,1000213,38,2014-09-01 11:21:48,600
