fromaccount,toaccount,syscode,timestamp,amount
E21124,1000003,30,2014-09-01 05:47:48,650
A71086,1000003,30,2014-09-01 05:47:49,500
C72517,1000003,30,2014-09-01 05:47:57,850
A71086,1000003,30,2014-09-01 05:47:59,150
E77657,1000003,30,2014-09-01 05:48:01,500
C32848,1000003,30,2014-09-01 05:48:05,440
D72398,1000003,30,2014-09-01 05:48:49,250
D64400,1000003,30,2014-09-01 05:48:52,500
E44209,1000003,30,2014-09-01 05:48:56,400
D53872,1000003,30,2014-09-01 05:48:57,200
D72661,1000003,30,2014-09-01 05:48:58,280
C57939,1000003,30,2014-09-01 05:48:59,450
A62417,1000003,30,2014-09-01 05:48:59,650
A67017,1000003,30,2014-09-01 05:48:59,650
D34699,1000003,30,2014-09-01 05:49:00,350
B67904,1000003,30,2014-09-01 05:49:01,500
C28723,1000003,30,2014-09-01 05:49:01,500
C78813,1000003,30,2014-09-01 05:49:01,500
E75775,1000003,30,2014-09-01 05:49:02,650
A63889,1000003,30,2014-09-01 05:49:02,650
D79381,1000003,30,2014-09-01 05:49:02,200
A74534,1000003,30,2014-09-01 05:49:02,500
D79381,1000003,30,2014-09-01 05:49:03,500
D58502,1000003,30,2014-09-01 05:49:07,500
A76816,1000003,30,2014-09-01 05:49:07,650
A33342,1000003,30,2014-09-01 05:49:07,650
D73266,1000003,30,2014-09-01 05:49:07,650
E73639,1000003,30,2014-09-01 05:49:08,1000
E73738,1000003,30,2014-09-01 05:49:10,350
B55302,1000003,30,2014-09-01 05:49:10,1000
D72398,1000003,30,2014-09-01 05:49:10,500
E78900,1000003,30,2014-09-01 05:49:10,650
B69613,1000003,30,2014-09-01 05:49:11,500
B53751,1000003,30,2014-09-01 05:49:12,650
C55267,1000003,30,2014-09-01 05:49:12,650
D78927,1000003,30,2014-09-01 05:49:13,650
E72999,1000003,30,2014-09-01 05:49:13,650
D76350,1000003,30,2014-09-01 05:49:13,650
C74613,1000003,30,2014-09-01 05:49:14,650
A42325,1000003,30,2014-09-01 05:49:14,270
A78589,1000003,30,2014-09-01 05:49:18,1000
B77805,1000003,30,2014-09-01 05:49:19,650
B70764,1000003,30,2014-09-01 05:49:21,650
B39028,1000003,30,2014-09-01 05:49:22,650
C78032,1000003,30,2014-09-01 05:49:23,1000
D55370,1000003,30,2014-09-01 05:49:24,650
C48032,1000003,30,2014-09-01 05:49:24,400
C46472,1000003,30,2014-09-01 05:49:28,650
C76665,1000003,30,2014-09-01 05:50:14,800
C74665,1000003,30,2014-09-01 05:50:15,650
B77934,1000003,30,2014-09-01 05:50:16,400
D75527,1000003,30,2014-09-01 05:50:16,700
C72982,1000003,30,2014-09-01 05:50:18,600
C72102,1000003,30,2014-09-01 05:50:20,400
D15124,1000003,30,2014-09-01 05:50:20,650
A71905,1000003,30,2014-09-01 05:50:21,300
A74534,1000003,30,2014-09-01 05:50:21,100
A58997,1000003,30,2014-09-01 05:50:22,500
D15124,1000003,30,2014-09-01 05:50:23,350
B79506,1000003,30,2014-09-01 05:50:24,450
B57591,1000003,30,2014-09-01 05:50:25,250
C66707,1000003,30,2014-09-01 05:50:25,650
B50837,1000003,30,2014-09-01 05:50:25,200
B50837,1000003,30,2014-09-01 05:50:26,500
B50837,1000003,30,2014-09-01 05:50:27,400
A69746,1000003,30,2014-09-01 05:50:28,700
D28983,1000003,30,2014-09-01 05:50:30,650
D77490,1000003,30,2014-09-01 05:50:30,450
D75438,1000003,30,2014-09-01 05:50:32,650
D76958,1000003,30,2014-09-01 05:50:33,200
D44479,1000003,30,2014-09-01 05:50:34,190
D42000,1000003,30,2014-09-01 05:50:34,50
B16736,1000003,30,2014-09-01 05:50:35,350
E74066,1000003,30,2014-09-01 05:50:37,500
B71637,1000003,30,2014-09-01 05:50:38,1150
A58647,1000003,30,2014-09-01 05:50:40,700
B75686,1000003,30,2014-09-01 05:50:41,800
B71161,1000003,30,2014-09-01 05:50:44,650
D42000,1000003,30,2014-09-01 05:50:44,800
C66992,1000003,30,2014-09-01 05:50:45,900
A21719,1000003,30,2014-09-01 05:50:48,350
E58088,1000003,30,2014-09-01 05:50:49,450
A78140,1000003,30,2014-09-01 05:50:49,350
A38855,1000003,30,2014-09-01 05:50:49,250
E44542,1000003,30,2014-09-01 05:50:55,450
A47274,1000003,30,2014-09-01 05:51:43,550
E47796,1000003,30,2014-09-01 05:51:44,800
E69559,1000003,30,2014-09-01 05:51:46,700
E57728,1000003,30,2014-09-01 05:51:46,370
E64970,1000003,30,2014-09-01 05:51:48,650
C46696,1000003,30,2014-09-01 05:51:49,150
D77192,1000003,30,2014-09-01 05:51:49,650
E76990,1000003,30,2014-09-01 05:51:49,150
A75646,1000003,30,2014-09-01 05:51:51,650
D31257,1000003,30,2014-09-01 05:51:51,300
C46696,1000003,30,2014-09-01 05:51:52,280
D60171,1000003,30,2014-09-01 05:51:52,300
A79389,1000003,30,2014-09-01 05:51:52,650
A39750,1000003,30,2014-09-01 05:51:54,650
