fromaccount,toaccount,syscode,timestamp,amount
C62197,1000210,38,2014-09-01 11:00:56,800
D53553,1000210,38,2014-09-01 11:02:35,700
D48990,1000210,38,2014-09-01 11:06:09,1000
B20840,1000210,38,2014-09-01 11:08:31,800
C78339,1000210,38,2014-09-01 11:09:47,900
A69657,1000210,38,2014-09-01 11:10:11,900
A75154,1000210,38,2014-09-01 11:11:26,900
E65404,1000210,38,2014-09-01 11:14:06,800
A54956,1000210,38,2014-09-01 11:19:07,900
A32252,1000210,38,2014-09-01 11:20:21,700
A32252,1000210,38,2014-09-01 11:20:21,100
E32077,1000210,38,2014-09-01 11:23:08,900
E32077,1000210,38,2014-09-01 11:23:14,800
D25603,1000210,38,2014-09-01 11:23:24,700
D57597,1000210,38,2014-09-01 11:24:44,800
A44499,1000210,38,2014-09-01 11:26:18,900
A44499,1000210,38,2014-09-01 11:27:11,800
B61789,1000210,38,2014-09-01 11:27:14,700
C36320,1000210,38,2014-09-01 11:27:44,800
B57682,1000210,38,2014-09-01 11:28:55,900
B79208,1000210,38,2014-09-01 11:28:57,800
B79208,1000210,38,2014-09-01 11:30:22,200
A73250,1000210,38,2014-09-01 11:31:42,900
D45951,1000210,38,2014-09-01 11:34:52,900
E64093,1000210,38,2014-09-01 11:36:16,700
A33869,1000210,38,2014-09-01 11:37:18,700
A53927,1000210,38,2014-09-01 11:37:25,800
D39924,1000210,38,2014-09-01 11:37:40,800
A53927,1000210,38,2014-09-01 11:38:50,700
A44023,1000210,38,2014-09-01 11:40:03,700
E64352,1000210,38,2014-09-01 11:41:13,900
A28214,1000210,38,2014-09-01 11:41:14,800
C63181,1000210,38,2014-09-01 11:41:29,800
A47892,1000210,38,2014-09-01 11:42:24,900
D39924,1000210,38,2014-09-01 11:45:17,150
C61837,1000210,38,2014-09-01 11:51:41,800
B59250,1000210,38,2014-09-01 11:52:49,700
E31884,1000210,38,2014-09-01 12:01:11,700
A60990,1000210,38,2014-09-01 12:04:25,700
A52904,1000210,38,2014-09-01 12:04:29,800
A33956,1000210,38,2014-09-01 12:04:35,900
D58807,1000210,38,2014-09-01 12:05:44,800
A26818,1000210,38,2014-09-01 12:07:50,700
D38455,1000210,38,2014-09-01 12:12:18,800
B72157,1000210,38,2014-09-01 12:13:23,900
B72560,1000210,38,2014-09-01 12:13:31,900
A60963,1000210,38,2014-09-01 12:17:50,150
B23311,1000210,38,2014-09-01 12:18:58,700
B23311,1000210,38,2014-09-01 12:21:52,800
D22252,1000210,38,2014-09-01 12:26:03,800
A74949,1000210,38,2014-09-01 12:32:08,800
A50028,1000210,38,2014-09-01 12:35:22,900
D65176,1000210,38,2014-09-01 12:38:20,800
D72392,1000210,38,2014-09-01 12:41:21,800
D72392,1000210,38,2014-09-01 12:43:12,150
B32568,1000210,38,2014-09-01 12:47:22,850
E27302,1000210,38,2014-09-01 12:55:11,950
B47359,1000210,38,2014-09-01 12:55:27,800
D70859,1000210,38,2014-09-01 16:21:44,900
D39748,1000210,38,2014-09-01 16:50:44,800
A23529,1000210,38,2014-09-01 17:01:40,800
C63548,1000210,38,2014-09-01 17:01:51,800
E64615,1000210,38,2014-09-01 17:06:03,800
A79482,1000210,38,2014-09-01 17:08:29,800
B41902,1000210,38,2014-09-01 17:09:32,800
A58560,1000210,38,2014-09-01 17:09:44,800
B36467,1000210,38,2014-09-01 17:12:12,1000
D43540,1000210,38,2014-09-01 17:12:20,900
E47324,1000210,38,2014-09-01 17:13:09,900
C17937,1000210,38,2014-09-01 17:14:36,800
C29560,1000210,38,2014-09-01 17:16:55,900
A71439,1000210,38,2014-09-01 17:18:01,900
B58861,1000210,38,2014-09-01 17:24:14,1000
C74752,1000210,38,2014-09-01 17:25:12,700
D63320,1000210,38,2014-09-01 17:35:37,800
E37422,1000210,38,2014-09-01 17:41:53,1000
A45190,1000210,38,2014-09-01 17:45:19,800
D55797,1000210,38,2014-09-01 17:48:03,900
D55797,1000210,38,2014-09-01 17:49:12,100
D58349,1000210,38,2014-09-01 17:53:19,800
C68178,1000210,38,2014-09-01 17:54:37,900
C58614,1000210,38,2014-09-01 17:55:56,800
A45529,1000210,38,2014-09-01 17:57:45,800
C33160,1000210,38,2014-09-01 18:00:18,800
C33160,1000210,38,2014-09-01 18:01:34,100
D15190,1000210,38,2014-09-01 18:01:40,900
B42466,1000210,38,2014-09-01 18:06:42,700
B76300,1000210,38,2014-09-01 18:07:50,700
B76300,1000210,38,2014-09-01 18:07:51,130
E76315,1000210,38,2014-09-01 18:09:16,800
D50585,1000210,38,2014-09-01 18:17:19,800
B43889,1000210,38,2014-09-01 18:19:24,800
B35610,1000210,38,2014-09-01 18:22:34,800
C59623,1000210,38,2014-09-01 18:23:26,700
A62078,1000210,38,2014-09-01 18:24:41,900
A74809,1000210,38,2014-09-01 18:26:41,900
C24686,1000210,38,2014-09-01 18:35:44,900
