fromaccount,toaccount,syscode,timestamp,amount
E75918,1000031,34,2014-09-01 05:38:41,400
B71845,1000031,34,2014-09-01 05:40:42,400
E47542,1000031,34,2014-09-01 05:40:48,260
D62490,1000031,34,2014-09-01 05:40:50,470
E77528,1000031,34,2014-09-01 05:40:56,100
D72249,1000031,34,2014-09-01 05:41:39,300
E30592,1000031,34,2014-09-01 05:41:42,500
E55076,1000031,34,2014-09-01 05:41:43,400
E55076,1000031,34,2014-09-01 05:41:50,200
E62011,1000031,34,2014-09-01 05:42:42,180
D77916,1000031,34,2014-09-01 05:42:44,120
D77916,1000031,34,2014-09-01 05:42:44,200
C50754,1000031,34,2014-09-01 05:42:45,400
E41592,1000031,34,2014-09-01 05:42:45,120
C79780,1000031,34,2014-09-01 05:42:54,350
C55054,1000031,34,2014-09-01 05:42:59,400
E23437,1000031,34,2014-09-01 05:42:59,180
E23437,1000031,34,2014-09-01 05:43:47,120
E23437,1000031,34,2014-09-01 05:43:53,200
D63315,1000031,34,2014-09-01 05:44:01,400
D73422,1000031,34,2014-09-01 05:44:57,150
C28546,1000031,34,2014-09-01 05:45:42,100
D26672,1000031,34,2014-09-01 05:45:44,300
D67453,1000031,34,2014-09-01 05:45:47,240
A78021,1000031,34,2014-09-01 05:45:50,240
A43262,1000031,34,2014-09-01 05:45:52,380
E59481,1000031,34,2014-09-01 05:45:53,320
A73621,1000031,34,2014-09-01 05:45:54,150
C68329,1000031,34,2014-09-01 05:46:00,390
D26672,1000031,34,2014-09-01 05:46:01,200
C22554,1000031,34,2014-09-01 05:46:43,350
A78021,1000031,34,2014-09-01 05:46:44,350
C22554,1000031,34,2014-09-01 05:46:57,240
D67453,1000031,34,2014-09-01 05:47:03,400
C50754,1000031,34,2014-09-01 05:47:55,60
B50715,1000031,34,2014-09-01 05:48:54,120
A75215,1000031,34,2014-09-01 05:49:04,400
B50715,1000031,34,2014-09-01 05:49:08,200
C56608,1000031,34,2014-09-01 05:49:08,500
A76397,1000031,34,2014-09-01 05:49:10,420
E68043,1000031,34,2014-09-01 05:49:13,850
E67562,1000031,34,2014-09-01 05:49:14,600
A28372,1000031,34,2014-09-01 05:49:23,120
B37844,1000031,34,2014-09-01 05:49:27,350
A67812,1000031,34,2014-09-01 05:50:12,500
B39122,1000031,34,2014-09-01 05:50:16,300
C66824,1000031,34,2014-09-01 05:50:20,200
A63069,1000031,34,2014-09-01 05:50:20,200
D57793,1000031,34,2014-09-01 05:50:22,500
E74960,1000031,34,2014-09-01 05:50:24,450
A69362,1000031,34,2014-09-01 05:50:25,500
A67812,1000031,34,2014-09-01 05:50:25,500
E74960,1000031,34,2014-09-01 05:50:28,50
