fromaccount,toaccount,syscode,timestamp,amount
B63961,1000055,38,2014-09-01 10:40:42,350
D28085,1000055,38,2014-09-01 10:42:02,800
E49270,1000055,38,2014-09-01 10:43:06,1044
A69941,1000055,38,2014-09-01 10:43:12,1488
D45613,1000055,38,2014-09-01 10:44:19,1066
A69941,1000055,38,2014-09-01 10:44:19,40
A74278,1000055,38,2014-09-01 10:44:31,666
A63229,1000055,38,2014-09-01 10:44:33,820
B52437,1000055,38,2014-09-01 10:45:16,666
D72023,1000055,38,2014-09-01 10:45:21,766
D54689,1000055,38,2014-09-01 10:45:29,944
E50237,1000055,38,2014-09-01 10:45:30,744
E76362,1000055,38,2014-09-01 10:45:34,866
B38291,1000055,38,2014-09-01 10:45:35,844
E46320,1000055,38,2014-09-01 10:46:26,400
D27168,1000055,38,2014-09-01 10:46:31,960
E70266,1000055,38,2014-09-01 10:47:31,644
E65526,1000055,38,2014-09-01 10:47:33,840
B67740,1000055,38,2014-09-01 10:47:34,760
B67740,1000055,38,2014-09-01 10:47:39,622
D27168,1000055,38,2014-09-01 10:48:35,100
B78012,1000055,38,2014-09-01 10:48:40,966
B71560,1000055,38,2014-09-01 10:48:49,666
C73600,1000055,38,2014-09-01 10:48:54,640
B43889,1000055,38,2014-09-01 10:50:04,1776
D43691,1000055,38,2014-09-01 10:50:10,566
E33243,1000055,38,2014-09-01 10:50:12,866
D43691,1000055,38,2014-09-01 10:50:23,300
D33579,1000055,38,2014-09-01 10:51:15,1040
B32552,1000055,38,2014-09-01 10:51:16,844
B65034,1000055,38,2014-09-01 10:51:19,644
B76876,1000055,38,2014-09-01 10:51:23,840
C39573,1000055,38,2014-09-01 10:51:23,1166
C26660,1000055,38,2014-09-01 10:51:26,864
B33580,1000055,38,2014-09-01 10:51:35,566
A55375,1000055,38,2014-09-01 10:53:46,766
E58769,1000055,38,2014-09-01 10:53:50,960
C48968,1000055,38,2014-09-01 10:53:55,666
A45141,1000055,38,2014-09-01 10:54:56,944
C43126,1000055,38,2014-09-01 10:54:57,944
C76153,1000055,38,2014-09-01 10:55:09,1100
E47463,1000055,38,2014-09-01 10:55:11,866
C76153,1000055,38,2014-09-01 10:55:16,100
E45917,1000055,38,2014-09-01 10:55:24,820
D74317,1000055,38,2014-09-01 10:55:24,944
E72612,1000055,38,2014-09-01 10:55:26,860
A26738,1000055,38,2014-09-01 10:55:33,866
D79520,1000055,38,2014-09-01 10:56:48,966
C78243,1000055,38,2014-09-01 10:56:50,566
E59635,1000055,38,2014-09-01 10:56:53,400
A53863,1000055,38,2014-09-01 10:56:53,666
D35760,1000055,38,2014-09-01 10:56:55,766
B69789,1000055,38,2014-09-01 10:56:56,860
E52781,1000055,38,2014-09-01 10:57:02,1466
C25026,1000055,38,2014-09-01 10:57:54,966
B78061,1000055,38,2014-09-01 10:58:01,866
D45728,1000055,38,2014-09-01 10:58:01,666
B51148,1000055,38,2014-09-01 10:58:17,300
E62586,1000055,38,2014-09-01 10:58:23,1066
D50226,1000055,38,2014-09-01 10:59:19,766
B72884,1000055,38,2014-09-01 10:59:25,1160
C41474,1000055,38,2014-09-01 10:59:28,766
C43441,1000055,38,2014-09-01 10:59:32,744
E17438,1000055,38,2014-09-01 10:59:39,760
D67894,1000055,38,2014-09-01 10:59:44,844
C62697,1000055,38,2014-09-01 11:00:46,966
